StdOrder,Block,PtType,A_pressure,B_gap,C_rf_power,CD_NM,RunOrder
17,1,center,0,0,0,45.451,1
13,2,factorial,-1,-1,1,47.36,2
6,1,factorial,1,-1,1,43.678,3
7,1,factorial,-1,1,1,47.74,4
1,1,factorial,-1,-1,-1,44.744,5
5,1,factorial,-1,-1,1,47.622,6
18,2,center,0,0,0,45.644,7
10,2,factorial,1,-1,-1,42.608,8
8,1,factorial,1,1,1,44.439,9
16,2,factorial,1,1,1,44.444,10
11,2,factorial,-1,1,-1,45.276,11
12,2,factorial,1,1,-1,43.57,12
9,2,factorial,-1,-1,-1,44.73,13
2,1,factorial,1,-1,-1,43.108,14
19,1,center,0,0,0,45.497,15
4,1,factorial,1,1,-1,43.219,16
3,1,factorial,-1,1,-1,45.416,17
20,2,center,0,0,0,45.44,18
14,2,factorial,1,-1,1,43.587,19
15,2,factorial,-1,1,1,47.735,20
