lot_id,date,litho_tool,etch_tool,etch_chamber,cmp_tool,metro_tool,cd_nm
L0001,2026-07-01,LITH-01,ETCH-01,B,CMP-02,MET-02,44.512
L0002,2026-07-01,LITH-03,ETCH-02,B,CMP-01,MET-01,45.131
L0003,2026-07-02,LITH-03,ETCH-01,C,CMP-01,MET-01,45.121
L0004,2026-07-02,LITH-02,ETCH-02,B,CMP-02,MET-02,45.536
L0005,2026-07-03,LITH-03,ETCH-02,C,CMP-02,MET-02,44.709
L0006,2026-07-03,LITH-02,ETCH-02,A,CMP-02,MET-02,45.445
L0007,2026-07-04,LITH-01,ETCH-01,A,CMP-02,MET-02,45.16
L0008,2026-07-04,LITH-03,ETCH-01,A,CMP-01,MET-01,45.416
L0009,2026-07-05,LITH-02,ETCH-01,B,CMP-01,MET-01,45.542
L0010,2026-07-05,LITH-01,ETCH-01,B,CMP-02,MET-02,44.65
L0011,2026-07-06,LITH-03,ETCH-02,B,CMP-01,MET-02,45.051
L0012,2026-07-06,LITH-02,ETCH-02,C,CMP-02,MET-01,44.603
L0013,2026-07-07,LITH-03,ETCH-02,C,CMP-02,MET-02,44.813
L0014,2026-07-07,LITH-01,ETCH-01,B,CMP-02,MET-02,44.692
L0015,2026-07-08,LITH-02,ETCH-02,B,CMP-02,MET-02,44.582
L0016,2026-07-08,LITH-03,ETCH-02,A,CMP-02,MET-02,44.85
L0017,2026-07-09,LITH-01,ETCH-02,A,CMP-02,MET-02,44.631
L0018,2026-07-09,LITH-03,ETCH-02,C,CMP-02,MET-02,44.965
L0019,2026-07-10,LITH-03,ETCH-01,C,CMP-02,MET-02,45.174
L0020,2026-07-10,LITH-01,ETCH-02,C,CMP-02,MET-02,44.901
L0021,2026-07-11,LITH-01,ETCH-01,A,CMP-01,MET-02,44.717
L0022,2026-07-11,LITH-03,ETCH-01,C,CMP-01,MET-02,45.74
L0023,2026-07-12,LITH-02,ETCH-01,C,CMP-01,MET-02,44.675
L0024,2026-07-12,LITH-03,ETCH-01,C,CMP-02,MET-02,44.904
L0025,2026-07-13,LITH-03,ETCH-01,C,CMP-02,MET-01,45.205
L0026,2026-07-13,LITH-03,ETCH-02,B,CMP-01,MET-01,45.143
L0027,2026-07-14,LITH-03,ETCH-02,B,CMP-01,MET-02,44.958
L0028,2026-07-14,LITH-01,ETCH-02,A,CMP-01,MET-02,44.907
L0029,2026-07-15,LITH-02,ETCH-02,C,CMP-01,MET-01,44.272
L0030,2026-07-15,LITH-02,ETCH-02,B,CMP-02,MET-02,45.405
L0031,2026-07-16,LITH-03,ETCH-01,A,CMP-02,MET-01,45.216
L0032,2026-07-16,LITH-03,ETCH-02,C,CMP-01,MET-02,46.0
L0033,2026-07-17,LITH-02,ETCH-01,B,CMP-02,MET-02,45.344
L0034,2026-07-17,LITH-01,ETCH-02,A,CMP-02,MET-02,44.669
L0035,2026-07-18,LITH-02,ETCH-01,C,CMP-01,MET-01,44.719
L0036,2026-07-18,LITH-01,ETCH-01,A,CMP-02,MET-02,44.937
L0037,2026-07-19,LITH-03,ETCH-02,B,CMP-02,MET-01,45.748
L0038,2026-07-19,LITH-03,ETCH-02,B,CMP-02,MET-01,45.0
L0039,2026-07-20,LITH-03,ETCH-02,B,CMP-01,MET-01,45.439
L0040,2026-07-20,LITH-01,ETCH-01,A,CMP-01,MET-01,45.222
L0041,2026-07-21,LITH-01,ETCH-01,C,CMP-02,MET-02,45.111
L0042,2026-07-21,LITH-01,ETCH-02,A,CMP-02,MET-01,44.649
L0043,2026-07-22,LITH-02,ETCH-01,C,CMP-01,MET-01,45.446
L0044,2026-07-22,LITH-01,ETCH-01,B,CMP-01,MET-01,44.097
L0045,2026-07-23,LITH-01,ETCH-01,B,CMP-02,MET-02,44.953
L0046,2026-07-23,LITH-01,ETCH-01,A,CMP-01,MET-02,44.799
L0047,2026-07-24,LITH-02,ETCH-01,B,CMP-01,MET-01,44.771
L0048,2026-07-24,LITH-01,ETCH-02,C,CMP-02,MET-01,46.586
L0049,2026-07-25,LITH-01,ETCH-01,A,CMP-02,MET-01,45.391
L0050,2026-07-25,LITH-03,ETCH-02,A,CMP-01,MET-01,44.927
L0051,2026-07-26,LITH-02,ETCH-02,A,CMP-02,MET-01,45.008
L0052,2026-07-26,LITH-03,ETCH-01,C,CMP-01,MET-02,44.972
L0053,2026-07-27,LITH-03,ETCH-02,A,CMP-01,MET-01,44.626
L0054,2026-07-27,LITH-02,ETCH-01,A,CMP-02,MET-02,45.244
L0055,2026-07-28,LITH-02,ETCH-01,B,CMP-02,MET-02,45.206
L0056,2026-07-28,LITH-03,ETCH-01,A,CMP-01,MET-01,45.526
L0057,2026-07-29,LITH-01,ETCH-02,A,CMP-02,MET-02,44.907
L0058,2026-07-29,LITH-02,ETCH-02,C,CMP-02,MET-02,46.787
L0059,2026-07-30,LITH-03,ETCH-01,B,CMP-02,MET-02,44.836
L0060,2026-07-30,LITH-02,ETCH-02,C,CMP-02,MET-02,47.256
