lot_id,wafer,site,cd_nm
L0001,1,1,44.615
L0001,1,2,44.765
L0001,1,3,44.655
L0001,1,4,44.601
L0001,1,5,44.84
L0001,13,1,44.642
L0001,13,2,44.508
L0001,13,3,44.396
L0001,13,4,44.773
L0001,13,5,44.734
L0001,25,1,44.464
L0001,25,2,44.06
L0001,25,3,44.599
L0001,25,4,44.577
L0001,25,5,45.051
L0002,1,1,45.443
L0002,1,2,44.973
L0002,1,3,45.012
L0002,1,4,44.763
L0002,1,5,45.279
L0002,13,1,44.888
L0002,13,2,44.859
L0002,13,3,45.332
L0002,13,4,45.601
L0002,13,5,45.064
L0002,25,1,45.005
L0002,25,2,45.227
L0002,25,3,45.21
L0002,25,4,45.024
L0002,25,5,45.271
L0003,1,1,45.37
L0003,1,2,45.096
L0003,1,3,45.245
L0003,1,4,45.196
L0003,1,5,44.97
L0003,13,1,44.76
L0003,13,2,45.012
L0003,13,3,45.095
L0003,13,4,45.582
L0003,13,5,45.241
L0003,25,1,45.189
L0003,25,2,45.25
L0003,25,3,45.056
L0003,25,4,45.311
L0003,25,5,45.575
L0004,1,1,45.704
L0004,1,2,45.463
L0004,1,3,45.43
L0004,1,4,45.55
L0004,1,5,45.848
L0004,13,1,45.494
L0004,13,2,45.306
L0004,13,3,45.501
L0004,13,4,45.827
L0004,13,5,45.916
L0004,25,1,45.481
L0004,25,2,45.497
L0004,25,3,45.344
L0004,25,4,45.639
L0004,25,5,45.347
L0005,1,1,44.538
L0005,1,2,44.691
L0005,1,3,44.65
L0005,1,4,44.873
L0005,1,5,44.869
L0005,13,1,44.517
L0005,13,2,44.774
L0005,13,3,44.628
L0005,13,4,44.851
L0005,13,5,44.895
L0005,25,1,44.657
L0005,25,2,44.514
L0005,25,3,44.423
L0005,25,4,44.883
L0005,25,5,44.7
L0006,1,1,45.224
L0006,1,2,45.522
L0006,1,3,45.405
L0006,1,4,45.828
L0006,1,5,45.333
L0006,13,1,45.217
L0006,13,2,45.483
L0006,13,3,45.185
L0006,13,4,45.646
L0006,13,5,45.478
L0006,25,1,45.387
L0006,25,2,45.28
L0006,25,3,45.433
L0006,25,4,45.579
L0006,25,5,45.204
L0007,1,1,45.009
L0007,1,2,45.223
L0007,1,3,44.891
L0007,1,4,45.141
L0007,1,5,45.144
L0007,13,1,45.074
L0007,13,2,44.89
L0007,13,3,45.421
L0007,13,4,45.454
L0007,13,5,45.347
L0007,25,1,45.151
L0007,25,2,45.162
L0007,25,3,45.25
L0007,25,4,45.288
L0007,25,5,45.447
L0008,1,1,45.445
L0008,1,2,45.563
L0008,1,3,45.573
L0008,1,4,45.371
L0008,1,5,45.318
L0008,13,1,45.208
L0008,13,2,45.201
L0008,13,3,45.442
L0008,13,4,45.468
L0008,13,5,45.336
L0008,25,1,45.403
L0008,25,2,45.342
L0008,25,3,45.337
L0008,25,4,45.496
L0008,25,5,45.477
L0009,1,1,45.625
L0009,1,2,45.342
L0009,1,3,45.521
L0009,1,4,45.698
L0009,1,5,45.732
L0009,13,1,45.46
L0009,13,2,45.528
L0009,13,3,45.412
L0009,13,4,45.425
L0009,13,5,45.824
L0009,25,1,45.414
L0009,25,2,45.57
L0009,25,3,45.531
L0009,25,4,45.484
L0009,25,5,45.584
L0010,1,1,44.62
L0010,1,2,44.453
L0010,1,3,44.737
L0010,1,4,45.086
L0010,1,5,44.754
L0010,13,1,44.794
L0010,13,2,44.702
L0010,13,3,44.5
L0010,13,4,44.985
L0010,13,5,44.708
L0010,25,1,44.462
L0010,25,2,44.766
L0010,25,3,44.562
L0010,25,4,44.736
L0010,25,5,44.71
L0011,1,1,45.163
L0011,1,2,45.024
L0011,1,3,44.91
L0011,1,4,44.935
L0011,1,5,45.068
L0011,13,1,45.26
L0011,13,2,45.085
L0011,13,3,44.837
L0011,13,4,45.194
L0011,13,5,45.299
L0011,25,1,45.31
L0011,25,2,44.851
L0011,25,3,45.291
L0011,25,4,45.154
L0011,25,5,45.126
L0012,1,1,44.744
L0012,1,2,44.512
L0012,1,3,44.476
L0012,1,4,44.716
L0012,1,5,44.552
L0012,13,1,44.296
L0012,13,2,44.403
L0012,13,3,44.382
L0012,13,4,44.674
L0012,13,5,44.459
L0012,25,1,44.901
L0012,25,2,44.431
L0012,25,3,44.706
L0012,25,4,44.773
L0012,25,5,44.765
L0013,1,1,44.813
L0013,1,2,45.025
L0013,1,3,44.448
L0013,1,4,45.048
L0013,1,5,44.944
L0013,13,1,44.469
L0013,13,2,44.586
L0013,13,3,44.558
L0013,13,4,44.874
L0013,13,5,45.073
L0013,25,1,44.799
L0013,25,2,44.903
L0013,25,3,44.963
L0013,25,4,45.409
L0013,25,5,44.646
L0014,1,1,44.672
L0014,1,2,44.514
L0014,1,3,44.732
L0014,1,4,44.62
L0014,1,5,44.89
L0014,13,1,44.882
L0014,13,2,45.009
L0014,13,3,44.522
L0014,13,4,44.957
L0014,13,5,44.901
L0014,25,1,44.38
L0014,25,2,44.682
L0014,25,3,44.478
L0014,25,4,44.988
L0014,25,5,44.837
L0015,1,1,44.343
L0015,1,2,44.533
L0015,1,3,44.565
L0015,1,4,44.523
L0015,1,5,44.726
L0015,13,1,44.898
L0015,13,2,44.482
L0015,13,3,44.478
L0015,13,4,44.642
L0015,13,5,44.743
L0015,25,1,44.61
L0015,25,2,44.659
L0015,25,3,44.754
L0015,25,4,44.378
L0015,25,5,44.596
L0016,1,1,44.908
L0016,1,2,44.949
L0016,1,3,45.086
L0016,1,4,45.199
L0016,1,5,44.848
L0016,13,1,44.571
L0016,13,2,44.855
L0016,13,3,44.975
L0016,13,4,45.324
L0016,13,5,45.064
L0016,25,1,44.975
L0016,25,2,44.981
L0016,25,3,44.625
L0016,25,4,45.185
L0016,25,5,44.962
L0017,1,1,44.336
L0017,1,2,44.593
L0017,1,3,44.647
L0017,1,4,44.777
L0017,1,5,44.775
L0017,13,1,44.618
L0017,13,2,44.303
L0017,13,3,44.512
