lot_id,date,tool,chamber,etch_time_s,endpoint_time_s,chamber_pressure_mtorr,rf_hours_since_pm
L0001,2026-07-01,ETCH-01,B,68.84,60.94,29.915,1.3
L0002,2026-07-01,ETCH-02,B,70.79,62.42,29.929,7.3
L0003,2026-07-02,ETCH-01,C,70.83,62.82,30.116,10.8
L0004,2026-07-02,ETCH-02,B,69.88,62.01,30.011,16.0
L0005,2026-07-03,ETCH-02,C,68.53,60.86,29.468,22.8
L0006,2026-07-03,ETCH-02,A,70.73,62.28,30.054,27.5
L0007,2026-07-04,ETCH-01,A,70.25,61.59,29.834,35.0
L0008,2026-07-04,ETCH-01,A,70.18,61.9,30.092,41.1
L0009,2026-07-05,ETCH-01,B,71.32,63.2,30.058,42.3
L0010,2026-07-05,ETCH-01,B,69.9,61.3,30.0,49.2
L0011,2026-07-06,ETCH-02,B,69.93,61.97,29.719,52.7
L0012,2026-07-06,ETCH-02,C,68.98,61.14,30.177,62.1
L0013,2026-07-07,ETCH-02,C,69.47,61.31,29.951,65.6
L0014,2026-07-07,ETCH-01,B,71.29,62.87,29.476,71.0
L0015,2026-07-08,ETCH-02,B,69.69,61.94,30.342,1.2
L0016,2026-07-08,ETCH-02,A,70.89,62.8,30.038,4.3
L0017,2026-07-09,ETCH-02,A,68.76,61.43,30.231,11.6
L0018,2026-07-09,ETCH-02,C,68.81,60.77,29.737,18.1
L0019,2026-07-10,ETCH-01,C,70.51,62.15,29.872,21.8
L0020,2026-07-10,ETCH-02,C,70.24,62.8,29.817,29.6
L0021,2026-07-11,ETCH-01,A,69.58,61.73,30.077,34.7
L0022,2026-07-11,ETCH-01,C,70.08,61.74,29.694,38.7
L0023,2026-07-12,ETCH-01,C,70.77,62.58,29.703,45.9
L0024,2026-07-12,ETCH-01,C,70.9,62.09,29.87,51.2
L0025,2026-07-13,ETCH-01,C,69.98,62.28,30.138,55.6
L0026,2026-07-13,ETCH-02,B,70.57,62.35,30.176,63.8
L0027,2026-07-14,ETCH-02,B,70.55,62.15,30.184,66.6
L0028,2026-07-14,ETCH-02,A,70.4,61.81,30.167,69.8
L0029,2026-07-15,ETCH-02,C,69.24,61.59,30.476,-2.1
L0030,2026-07-15,ETCH-02,B,70.09,61.98,29.851,5.3
L0031,2026-07-16,ETCH-01,A,69.04,61.2,30.237,11.6
L0032,2026-07-16,ETCH-02,C,69.6,61.95,30.194,16.6
L0033,2026-07-17,ETCH-01,B,70.88,63.2,29.723,22.2
L0034,2026-07-17,ETCH-02,A,70.86,62.29,29.983,27.6
L0035,2026-07-18,ETCH-01,C,70.38,62.4,29.845,32.7
L0036,2026-07-18,ETCH-01,A,69.52,61.16,30.102,41.9
L0037,2026-07-19,ETCH-02,B,71.09,62.83,30.107,43.1
L0038,2026-07-19,ETCH-02,B,70.07,62.22,29.751,49.7
L0039,2026-07-20,ETCH-02,B,69.52,61.84,30.067,53.8
L0040,2026-07-20,ETCH-01,A,70.79,62.27,30.168,61.5
L0041,2026-07-21,ETCH-01,C,70.39,62.63,30.081,66.3
L0042,2026-07-21,ETCH-02,A,69.79,62.18,30.002,67.3
L0043,2026-07-22,ETCH-01,C,69.02,61.27,30.131,0.7
L0044,2026-07-22,ETCH-01,B,70.58,62.7,29.698,5.7
L0045,2026-07-23,ETCH-01,B,69.86,62.27,30.141,11.3
L0046,2026-07-23,ETCH-01,A,71.21,62.8,29.915,19.0
L0047,2026-07-24,ETCH-01,B,71.01,62.8,29.908,21.1
L0048,2026-07-24,ETCH-02,C,74.12,66.03,30.049,27.7
L0049,2026-07-25,ETCH-01,A,71.34,63.2,29.668,31.4
L0050,2026-07-25,ETCH-02,A,69.51,61.59,29.575,39.5
L0051,2026-07-26,ETCH-02,A,70.82,62.93,29.914,44.3
L0052,2026-07-26,ETCH-01,C,68.04,60.07,29.968,50.5
L0053,2026-07-27,ETCH-02,A,68.72,61.27,29.543,56.0
L0054,2026-07-27,ETCH-01,A,69.44,61.67,29.97,59.9
L0055,2026-07-28,ETCH-01,B,69.88,62.17,29.755,64.5
L0056,2026-07-28,ETCH-01,A,71.42,62.81,30.133,71.3
L0057,2026-07-29,ETCH-02,A,69.18,61.41,29.867,-0.3
L0058,2026-07-29,ETCH-02,C,72.21,63.67,29.792,6.0
L0059,2026-07-30,ETCH-01,B,70.34,62.63,30.259,12.9
L0060,2026-07-30,ETCH-02,C,74.35,65.74,30.038,14.8
