lot_id,step,tool,chamber,date
L0001,LITHO,LITH-01,,2026-07-01
L0001,ETCH,ETCH-01,B,2026-07-01
L0001,CMP,CMP-02,,2026-07-01
L0001,METRO,MET-02,,2026-07-01
L0002,LITHO,LITH-03,,2026-07-01
L0002,ETCH,ETCH-02,B,2026-07-01
L0002,CMP,CMP-01,,2026-07-01
L0002,METRO,MET-01,,2026-07-01
L0003,LITHO,LITH-03,,2026-07-02
L0003,ETCH,ETCH-01,C,2026-07-02
L0003,CMP,CMP-01,,2026-07-02
L0003,METRO,MET-01,,2026-07-02
L0004,LITHO,LITH-02,,2026-07-02
L0004,ETCH,ETCH-02,B,2026-07-02
L0004,CMP,CMP-02,,2026-07-02
L0004,METRO,MET-02,,2026-07-02
L0005,LITHO,LITH-03,,2026-07-03
L0005,ETCH,ETCH-02,C,2026-07-03
L0005,CMP,CMP-02,,2026-07-03
L0005,METRO,MET-02,,2026-07-03
L0006,LITHO,LITH-02,,2026-07-03
L0006,ETCH,ETCH-02,A,2026-07-03
L0006,CMP,CMP-02,,2026-07-03
L0006,METRO,MET-02,,2026-07-03
L0007,LITHO,LITH-01,,2026-07-04
L0007,ETCH,ETCH-01,A,2026-07-04
L0007,CMP,CMP-02,,2026-07-04
L0007,METRO,MET-02,,2026-07-04
L0008,LITHO,LITH-03,,2026-07-04
L0008,ETCH,ETCH-01,A,2026-07-04
L0008,CMP,CMP-01,,2026-07-04
L0008,METRO,MET-01,,2026-07-04
L0009,LITHO,LITH-02,,2026-07-05
L0009,ETCH,ETCH-01,B,2026-07-05
L0009,CMP,CMP-01,,2026-07-05
L0009,METRO,MET-01,,2026-07-05
L0010,LITHO,LITH-01,,2026-07-05
L0010,ETCH,ETCH-01,B,2026-07-05
L0010,CMP,CMP-02,,2026-07-05
L0010,METRO,MET-02,,2026-07-05
L0011,LITHO,LITH-03,,2026-07-06
L0011,ETCH,ETCH-02,B,2026-07-06
L0011,CMP,CMP-01,,2026-07-06
L0011,METRO,MET-02,,2026-07-06
L0012,LITHO,LITH-02,,2026-07-06
L0012,ETCH,ETCH-02,C,2026-07-06
L0012,CMP,CMP-02,,2026-07-06
L0012,METRO,MET-01,,2026-07-06
L0013,LITHO,LITH-03,,2026-07-07
L0013,ETCH,ETCH-02,C,2026-07-07
L0013,CMP,CMP-02,,2026-07-07
L0013,METRO,MET-02,,2026-07-07
L0014,LITHO,LITH-01,,2026-07-07
L0014,ETCH,ETCH-01,B,2026-07-07
L0014,CMP,CMP-02,,2026-07-07
L0014,METRO,MET-02,,2026-07-07
L0015,LITHO,LITH-02,,2026-07-08
L0015,ETCH,ETCH-02,B,2026-07-08
L0015,CMP,CMP-02,,2026-07-08
L0015,METRO,MET-02,,2026-07-08
L0016,LITHO,LITH-03,,2026-07-08
L0016,ETCH,ETCH-02,A,2026-07-08
L0016,CMP,CMP-02,,2026-07-08
L0016,METRO,MET-02,,2026-07-08
L0017,LITHO,LITH-01,,2026-07-09
L0017,ETCH,ETCH-02,A,2026-07-09
L0017,CMP,CMP-02,,2026-07-09
L0017,METRO,MET-02,,2026-07-09
L0018,LITHO,LITH-03,,2026-07-09
L0018,ETCH,ETCH-02,C,2026-07-09
L0018,CMP,CMP-02,,2026-07-09
L0018,METRO,MET-02,,2026-07-09
L0019,LITHO,LITH-03,,2026-07-10
L0019,ETCH,ETCH-01,C,2026-07-10
L0019,CMP,CMP-02,,2026-07-10
L0019,METRO,MET-02,,2026-07-10
L0020,LITHO,LITH-01,,2026-07-10
L0020,ETCH,ETCH-02,C,2026-07-10
L0020,CMP,CMP-02,,2026-07-10
L0020,METRO,MET-02,,2026-07-10
L0021,LITHO,LITH-01,,2026-07-11
L0021,ETCH,ETCH-01,A,2026-07-11
L0021,CMP,CMP-01,,2026-07-11
L0021,METRO,MET-02,,2026-07-11
L0022,LITHO,LITH-03,,2026-07-11
L0022,ETCH,ETCH-01,C,2026-07-11
L0022,CMP,CMP-01,,2026-07-11
L0022,METRO,MET-02,,2026-07-11
L0023,LITHO,LITH-02,,2026-07-12
L0023,ETCH,ETCH-01,C,2026-07-12
L0023,CMP,CMP-01,,2026-07-12
L0023,METRO,MET-02,,2026-07-12
L0024,LITHO,LITH-03,,2026-07-12
L0024,ETCH,ETCH-01,C,2026-07-12
L0024,CMP,CMP-02,,2026-07-12
L0024,METRO,MET-02,,2026-07-12
L0025,LITHO,LITH-03,,2026-07-13
L0025,ETCH,ETCH-01,C,2026-07-13
L0025,CMP,CMP-02,,2026-07-13
L0025,METRO,MET-01,,2026-07-13
L0026,LITHO,LITH-03,,2026-07-13
L0026,ETCH,ETCH-02,B,2026-07-13
L0026,CMP,CMP-01,,2026-07-13
L0026,METRO,MET-01,,2026-07-13
L0027,LITHO,LITH-03,,2026-07-14
L0027,ETCH,ETCH-02,B,2026-07-14
L0027,CMP,CMP-01,,2026-07-14
L0027,METRO,MET-02,,2026-07-14
L0028,LITHO,LITH-01,,2026-07-14
L0028,ETCH,ETCH-02,A,2026-07-14
L0028,CMP,CMP-01,,2026-07-14
L0028,METRO,MET-02,,2026-07-14
L0029,LITHO,LITH-02,,2026-07-15
L0029,ETCH,ETCH-02,C,2026-07-15
L0029,CMP,CMP-01,,2026-07-15
L0029,METRO,MET-01,,2026-07-15
L0030,LITHO,LITH-02,,2026-07-15
L0030,ETCH,ETCH-02,B,2026-07-15
L0030,CMP,CMP-02,,2026-07-15
L0030,METRO,MET-02,,2026-07-15
L0031,LITHO,LITH-03,,2026-07-16
L0031,ETCH,ETCH-01,A,2026-07-16
L0031,CMP,CMP-02,,2026-07-16
L0031,METRO,MET-01,,2026-07-16
L0032,LITHO,LITH-03,,2026-07-16
L0032,ETCH,ETCH-02,C,2026-07-16
L0032,CMP,CMP-01,,2026-07-16
L0032,METRO,MET-02,,2026-07-16
L0033,LITHO,LITH-02,,2026-07-17
L0033,ETCH,ETCH-01,B,2026-07-17
L0033,CMP,CMP-02,,2026-07-17
L0033,METRO,MET-02,,2026-07-17
L0034,LITHO,LITH-01,,2026-07-17
L0034,ETCH,ETCH-02,A,2026-07-17
L0034,CMP,CMP-02,,2026-07-17
L0034,METRO,MET-02,,2026-07-17
L0035,LITHO,LITH-02,,2026-07-18
L0035,ETCH,ETCH-01,C,2026-07-18
L0035,CMP,CMP-01,,2026-07-18
L0035,METRO,MET-01,,2026-07-18
L0036,LITHO,LITH-01,,2026-07-18
L0036,ETCH,ETCH-01,A,2026-07-18
L0036,CMP,CMP-02,,2026-07-18
L0036,METRO,MET-02,,2026-07-18
L0037,LITHO,LITH-03,,2026-07-19
L0037,ETCH,ETCH-02,B,2026-07-19
L0037,CMP,CMP-02,,2026-07-19
L0037,METRO,MET-01,,2026-07-19
L0038,LITHO,LITH-03,,2026-07-19
L0038,ETCH,ETCH-02,B,2026-07-19
L0038,CMP,CMP-02,,2026-07-19
L0038,METRO,MET-01,,2026-07-19
L0039,LITHO,LITH-03,,2026-07-20
L0039,ETCH,ETCH-02,B,2026-07-20
L0039,CMP,CMP-01,,2026-07-20
L0039,METRO,MET-01,,2026-07-20
L0040,LITHO,LITH-01,,2026-07-20
L0040,ETCH,ETCH-01,A,2026-07-20
L0040,CMP,CMP-01,,2026-07-20
L0040,METRO,MET-01,,2026-07-20
L0041,LITHO,LITH-01,,2026-07-21
L0041,ETCH,ETCH-01,C,2026-07-21
L0041,CMP,CMP-02,,2026-07-21
L0041,METRO,MET-02,,2026-07-21
L0042,LITHO,LITH-01,,2026-07-21
L0042,ETCH,ETCH-02,A,2026-07-21
L0042,CMP,CMP-02,,2026-07-21
L0042,METRO,MET-01,,2026-07-21
L0043,LITHO,LITH-02,,2026-07-22
L0043,ETCH,ETCH-01,C,2026-07-22
L0043,CMP,CMP-01,,2026-07-22
L0043,METRO,MET-01,,2026-07-22
L0044,LITHO,LITH-01,,2026-07-22
L0044,ETCH,ETCH-01,B,2026-07-22
L0044,CMP,CMP-01,,2026-07-22
L0044,METRO,MET-01,,2026-07-22
L0045,LITHO,LITH-01,,2026-07-23
L0045,ETCH,ETCH-01,B,2026-07-23
L0045,CMP,CMP-02,,2026-07-23
L0045,METRO,MET-02,,2026-07-23
L0046,LITHO,LITH-01,,2026-07-23
L0046,ETCH,ETCH-01,A,2026-07-23
L0046,CMP,CMP-01,,2026-07-23
L0046,METRO,MET-02,,2026-07-23
L0047,LITHO,LITH-02,,2026-07-24
L0047,ETCH,ETCH-01,B,2026-07-24
L0047,CMP,CMP-01,,2026-07-24
L0047,METRO,MET-01,,2026-07-24
L0048,LITHO,LITH-01,,2026-07-24
L0048,ETCH,ETCH-02,C,2026-07-24
L0048,CMP,CMP-02,,2026-07-24
L0048,METRO,MET-01,,2026-07-24
L0049,LITHO,LITH-01,,2026-07-25
L0049,ETCH,ETCH-01,A,2026-07-25
L0049,CMP,CMP-02,,2026-07-25
L0049,METRO,MET-01,,2026-07-25
L0050,LITHO,LITH-03,,2026-07-25
L0050,ETCH,ETCH-02,A,2026-07-25
