lot_id,step,tool,chamber,date
F0001,DEP,DEP-01,A,2026-08-01
F0001,RTP,RTP-01,,2026-08-01
F0001,METRO,MET-01,,2026-08-01
F0002,DEP,DEP-02,B,2026-08-01
F0002,RTP,RTP-01,,2026-08-01
F0002,METRO,MET-02,,2026-08-01
F0003,DEP,DEP-01,B,2026-08-02
F0003,RTP,RTP-01,,2026-08-02
F0003,METRO,MET-01,,2026-08-02
F0004,DEP,DEP-02,B,2026-08-02
F0004,RTP,RTP-01,,2026-08-02
F0004,METRO,MET-02,,2026-08-02
F0005,DEP,DEP-02,B,2026-08-03
F0005,RTP,RTP-01,,2026-08-03
F0005,METRO,MET-01,,2026-08-03
F0006,DEP,DEP-02,B,2026-08-03
F0006,RTP,RTP-02,,2026-08-03
F0006,METRO,MET-02,,2026-08-03
F0007,DEP,DEP-02,B,2026-08-04
F0007,RTP,RTP-02,,2026-08-04
F0007,METRO,MET-01,,2026-08-04
F0008,DEP,DEP-02,B,2026-08-04
F0008,RTP,RTP-01,,2026-08-04
F0008,METRO,MET-02,,2026-08-04
F0009,DEP,DEP-01,A,2026-08-05
F0009,RTP,RTP-02,,2026-08-05
F0009,METRO,MET-01,,2026-08-05
F0010,DEP,DEP-02,A,2026-08-05
F0010,RTP,RTP-02,,2026-08-05
F0010,METRO,MET-02,,2026-08-05
F0011,DEP,DEP-01,A,2026-08-06
F0011,RTP,RTP-01,,2026-08-06
F0011,METRO,MET-01,,2026-08-06
F0012,DEP,DEP-02,B,2026-08-06
F0012,RTP,RTP-01,,2026-08-06
F0012,METRO,MET-02,,2026-08-06
F0013,DEP,DEP-01,B,2026-08-07
F0013,RTP,RTP-01,,2026-08-07
F0013,METRO,MET-01,,2026-08-07
F0014,DEP,DEP-01,A,2026-08-07
F0014,RTP,RTP-02,,2026-08-07
F0014,METRO,MET-02,,2026-08-07
F0015,DEP,DEP-01,A,2026-08-08
F0015,RTP,RTP-01,,2026-08-08
F0015,METRO,MET-01,,2026-08-08
F0016,DEP,DEP-02,A,2026-08-08
F0016,RTP,RTP-02,,2026-08-08
F0016,METRO,MET-02,,2026-08-08
F0017,DEP,DEP-01,A,2026-08-09
F0017,RTP,RTP-02,,2026-08-09
F0017,METRO,MET-01,,2026-08-09
F0018,DEP,DEP-01,B,2026-08-09
F0018,RTP,RTP-01,,2026-08-09
F0018,METRO,MET-02,,2026-08-09
F0019,DEP,DEP-01,B,2026-08-10
F0019,RTP,RTP-01,,2026-08-10
F0019,METRO,MET-01,,2026-08-10
F0020,DEP,DEP-01,B,2026-08-10
F0020,RTP,RTP-01,,2026-08-10
F0020,METRO,MET-02,,2026-08-10
F0021,DEP,DEP-01,B,2026-08-11
F0021,RTP,RTP-02,,2026-08-11
F0021,METRO,MET-01,,2026-08-11
F0022,DEP,DEP-02,B,2026-08-11
F0022,RTP,RTP-01,,2026-08-11
F0022,METRO,MET-02,,2026-08-11
F0023,DEP,DEP-02,B,2026-08-12
F0023,RTP,RTP-02,,2026-08-12
F0023,METRO,MET-01,,2026-08-12
F0024,DEP,DEP-02,A,2026-08-12
F0024,RTP,RTP-01,,2026-08-12
F0024,METRO,MET-02,,2026-08-12
F0025,DEP,DEP-01,A,2026-08-13
F0025,RTP,RTP-01,,2026-08-13
F0025,METRO,MET-01,,2026-08-13
F0026,DEP,DEP-02,A,2026-08-13
F0026,RTP,RTP-02,,2026-08-13
F0026,METRO,MET-02,,2026-08-13
F0027,DEP,DEP-02,B,2026-08-14
F0027,RTP,RTP-01,,2026-08-14
F0027,METRO,MET-01,,2026-08-14
F0028,DEP,DEP-01,A,2026-08-14
F0028,RTP,RTP-01,,2026-08-14
F0028,METRO,MET-02,,2026-08-14
F0029,DEP,DEP-01,B,2026-08-15
F0029,RTP,RTP-02,,2026-08-15
F0029,METRO,MET-01,,2026-08-15
F0030,DEP,DEP-02,A,2026-08-15
F0030,RTP,RTP-01,,2026-08-15
F0030,METRO,MET-02,,2026-08-15
F0031,DEP,DEP-01,A,2026-08-16
F0031,RTP,RTP-01,,2026-08-16
F0031,METRO,MET-01,,2026-08-16
F0032,DEP,DEP-01,B,2026-08-16
F0032,RTP,RTP-01,,2026-08-16
F0032,METRO,MET-02,,2026-08-16
F0033,DEP,DEP-02,A,2026-08-17
F0033,RTP,RTP-01,,2026-08-17
F0033,METRO,MET-01,,2026-08-17
F0034,DEP,DEP-02,A,2026-08-17
F0034,RTP,RTP-01,,2026-08-17
F0034,METRO,MET-02,,2026-08-17
F0035,DEP,DEP-02,B,2026-08-18
F0035,RTP,RTP-01,,2026-08-18
F0035,METRO,MET-01,,2026-08-18
F0036,DEP,DEP-01,B,2026-08-18
F0036,RTP,RTP-02,,2026-08-18
F0036,METRO,MET-02,,2026-08-18
F0037,DEP,DEP-01,B,2026-08-19
F0037,RTP,RTP-01,,2026-08-19
F0037,METRO,MET-01,,2026-08-19
F0038,DEP,DEP-01,B,2026-08-19
F0038,RTP,RTP-01,,2026-08-19
F0038,METRO,MET-02,,2026-08-19
F0039,DEP,DEP-01,A,2026-08-20
F0039,RTP,RTP-01,,2026-08-20
F0039,METRO,MET-01,,2026-08-20
F0040,DEP,DEP-01,A,2026-08-20
F0040,RTP,RTP-02,,2026-08-20
F0040,METRO,MET-02,,2026-08-20
F0041,DEP,DEP-02,A,2026-08-21
F0041,RTP,RTP-01,,2026-08-21
F0041,METRO,MET-01,,2026-08-21
F0042,DEP,DEP-02,A,2026-08-21
F0042,RTP,RTP-01,,2026-08-21
F0042,METRO,MET-02,,2026-08-21
F0043,DEP,DEP-02,A,2026-08-22
F0043,RTP,RTP-01,,2026-08-22
F0043,METRO,MET-01,,2026-08-22
F0044,DEP,DEP-02,A,2026-08-22
F0044,RTP,RTP-01,,2026-08-22
F0044,METRO,MET-02,,2026-08-22
