date,tool,wafer_id,reading_a
2026-07-15,MET-01,REF-STD-07,999.97
2026-07-15,MET-02,REF-STD-07,999.73
2026-07-16,MET-01,REF-STD-07,999.47
2026-07-16,MET-02,REF-STD-07,997.73
2026-07-17,MET-01,REF-STD-07,999.65
2026-07-17,MET-02,REF-STD-07,999.92
2026-07-18,MET-01,REF-STD-07,999.34
2026-07-18,MET-02,REF-STD-07,998.89
2026-07-19,MET-01,REF-STD-07,999.35
2026-07-19,MET-02,REF-STD-07,1000.64
2026-07-20,MET-01,REF-STD-07,999.23
2026-07-20,MET-02,REF-STD-07,1002.6
2026-07-21,MET-01,REF-STD-07,1001.29
2026-07-21,MET-02,REF-STD-07,999.87
2026-07-22,MET-01,REF-STD-07,1000.13
2026-07-22,MET-02,REF-STD-07,1000.7
2026-07-23,MET-01,REF-STD-07,998.92
2026-07-23,MET-02,REF-STD-07,999.07
2026-07-24,MET-01,REF-STD-07,1002.75
2026-07-24,MET-02,REF-STD-07,1000.99
2026-07-25,MET-01,REF-STD-07,1000.35
2026-07-25,MET-02,REF-STD-07,1000.76
2026-07-26,MET-01,REF-STD-07,1000.08
2026-07-26,MET-02,REF-STD-07,998.68
2026-07-27,MET-01,REF-STD-07,1000.01
2026-07-27,MET-02,REF-STD-07,999.36
2026-07-28,MET-01,REF-STD-07,998.97
2026-07-28,MET-02,REF-STD-07,1001.28
2026-07-29,MET-01,REF-STD-07,998.71
2026-07-29,MET-02,REF-STD-07,1001.86
2026-07-30,MET-01,REF-STD-07,1001.52
2026-07-30,MET-02,REF-STD-07,1001.49
2026-07-31,MET-01,REF-STD-07,1000.21
2026-07-31,MET-02,REF-STD-07,1002.25
2026-08-01,MET-01,REF-STD-07,1000.36
2026-08-01,MET-02,REF-STD-07,997.43
2026-08-02,MET-01,REF-STD-07,998.58
2026-08-02,MET-02,REF-STD-07,999.05
2026-08-03,MET-01,REF-STD-07,1000.64
2026-08-03,MET-02,REF-STD-07,1001.06
2026-08-04,MET-01,REF-STD-07,999.25
2026-08-04,MET-02,REF-STD-07,1001.2
2026-08-05,MET-01,REF-STD-07,1000.19
2026-08-05,MET-02,REF-STD-07,999.63
2026-08-06,MET-01,REF-STD-07,999.98
2026-08-06,MET-02,REF-STD-07,999.88
2026-08-07,MET-01,REF-STD-07,1000.17
2026-08-07,MET-02,REF-STD-07,999.31
2026-08-08,MET-01,REF-STD-07,1000.19
2026-08-08,MET-02,REF-STD-07,999.84
2026-08-09,MET-01,REF-STD-07,998.22
2026-08-09,MET-02,REF-STD-07,1001.65
2026-08-10,MET-01,REF-STD-07,999.23
2026-08-10,MET-02,REF-STD-07,1001.03
2026-08-11,MET-01,REF-STD-07,998.01
2026-08-11,MET-02,REF-STD-07,1000.76
2026-08-12,MET-01,REF-STD-07,1001.05
2026-08-12,MET-02,REF-STD-07,999.55
2026-08-13,MET-01,REF-STD-07,1001.82
2026-08-13,MET-02,REF-STD-07,996.26
2026-08-14,MET-01,REF-STD-07,1000.48
2026-08-14,MET-02,REF-STD-07,1001.94
2026-08-15,MET-01,REF-STD-07,999.78
2026-08-15,MET-02,REF-STD-07,998.99
2026-08-16,MET-01,REF-STD-07,998.85
2026-08-16,MET-02,REF-STD-07,1008.84
2026-08-17,MET-01,REF-STD-07,999.73
2026-08-17,MET-02,REF-STD-07,1007.81
2026-08-18,MET-01,REF-STD-07,999.81
2026-08-18,MET-02,REF-STD-07,1009.0
2026-08-19,MET-01,REF-STD-07,1000.07
2026-08-19,MET-02,REF-STD-07,1008.35
2026-08-20,MET-01,REF-STD-07,1000.63
2026-08-20,MET-02,REF-STD-07,1007.48
2026-08-21,MET-01,REF-STD-07,1000.81
2026-08-21,MET-02,REF-STD-07,1010.48
2026-08-22,MET-01,REF-STD-07,1000.92
2026-08-22,MET-02,REF-STD-07,1007.43
