lot_id,date,dep_tool,dep_chamber,rtp_tool,metro_tool,thickness_a
F0001,2026-08-01,DEP-01,A,RTP-01,MET-01,1000.57
F0002,2026-08-01,DEP-02,B,RTP-01,MET-02,999.02
F0003,2026-08-02,DEP-01,B,RTP-01,MET-01,998.88
F0004,2026-08-02,DEP-02,B,RTP-01,MET-02,997.66
F0005,2026-08-03,DEP-02,B,RTP-01,MET-01,1005.46
F0006,2026-08-03,DEP-02,B,RTP-02,MET-02,1004.24
F0007,2026-08-04,DEP-02,B,RTP-02,MET-01,997.99
F0008,2026-08-04,DEP-02,B,RTP-01,MET-02,1002.92
F0009,2026-08-05,DEP-01,A,RTP-02,MET-01,1002.62
F0010,2026-08-05,DEP-02,A,RTP-02,MET-02,1001.66
F0011,2026-08-06,DEP-01,A,RTP-01,MET-01,1001.13
F0012,2026-08-06,DEP-02,B,RTP-01,MET-02,1008.81
F0013,2026-08-07,DEP-01,B,RTP-01,MET-01,990.93
F0014,2026-08-07,DEP-01,A,RTP-02,MET-02,999.97
F0015,2026-08-08,DEP-01,A,RTP-01,MET-01,1000.08
F0016,2026-08-08,DEP-02,A,RTP-02,MET-02,995.62
F0017,2026-08-09,DEP-01,A,RTP-02,MET-01,996.75
F0018,2026-08-09,DEP-01,B,RTP-01,MET-02,997.66
F0019,2026-08-10,DEP-01,B,RTP-01,MET-01,1002.45
F0020,2026-08-10,DEP-01,B,RTP-01,MET-02,1002.12
F0021,2026-08-11,DEP-01,B,RTP-02,MET-01,1002.97
F0022,2026-08-11,DEP-02,B,RTP-01,MET-02,999.51
F0023,2026-08-12,DEP-02,B,RTP-02,MET-01,1003.8
F0024,2026-08-12,DEP-02,A,RTP-01,MET-02,996.06
F0025,2026-08-13,DEP-01,A,RTP-01,MET-01,999.75
F0026,2026-08-13,DEP-02,A,RTP-02,MET-02,1002.75
F0027,2026-08-14,DEP-02,B,RTP-01,MET-01,997.65
F0028,2026-08-14,DEP-01,A,RTP-01,MET-02,1002.78
F0029,2026-08-15,DEP-01,B,RTP-02,MET-01,998.97
F0030,2026-08-15,DEP-02,A,RTP-01,MET-02,997.4
F0031,2026-08-16,DEP-01,A,RTP-01,MET-01,999.89
F0032,2026-08-16,DEP-01,B,RTP-01,MET-02,1003.65
F0033,2026-08-17,DEP-02,A,RTP-01,MET-01,1001.42
F0034,2026-08-17,DEP-02,A,RTP-01,MET-02,998.62
F0035,2026-08-18,DEP-02,B,RTP-01,MET-01,1003.08
F0036,2026-08-18,DEP-01,B,RTP-02,MET-02,1006.89
F0037,2026-08-19,DEP-01,B,RTP-01,MET-01,1001.84
F0038,2026-08-19,DEP-01,B,RTP-01,MET-02,1009.43
F0039,2026-08-20,DEP-01,A,RTP-01,MET-01,1004.87
F0040,2026-08-20,DEP-01,A,RTP-02,MET-02,1007.17
F0041,2026-08-21,DEP-02,A,RTP-01,MET-01,1000.74
F0042,2026-08-21,DEP-02,A,RTP-01,MET-02,1003.99
F0043,2026-08-22,DEP-02,A,RTP-01,MET-01,1002.08
F0044,2026-08-22,DEP-02,A,RTP-01,MET-02,1015.84
