lot_id,wafer_id,die_x,die_y,hard_bin,soft_bin,pass_flag
L2551,W01,1,14,1,1,1
L2551,W01,1,15,1,1,1
L2551,W01,1,16,1,1,1
L2551,W01,1,17,1,1,1
L2551,W01,1,18,1,1,1
L2551,W01,1,19,1,1,1
L2551,W01,1,20,1,1,1
L2551,W01,1,21,1,1,1
L2551,W01,1,22,1,1,1
L2551,W01,1,23,1,1,1
L2551,W01,1,24,1,1,1
L2551,W01,1,25,1,1,1
L2551,W01,2,11,1,1,1
L2551,W01,2,12,1,1,1
L2551,W01,2,13,1,1,1
L2551,W01,2,14,1,1,1
L2551,W01,2,15,1,1,1
L2551,W01,2,16,1,1,1
L2551,W01,2,17,5,51,0
L2551,W01,2,18,1,1,1
L2551,W01,2,19,1,1,1
L2551,W01,2,20,1,1,1
L2551,W01,2,21,1,1,1
L2551,W01,2,22,1,1,1
L2551,W01,2,23,1,1,1
L2551,W01,2,24,1,1,1
L2551,W01,2,25,1,1,1
L2551,W01,2,26,1,1,1
L2551,W01,2,27,1,1,1
L2551,W01,2,28,1,1,1
L2551,W01,3,10,1,1,1
L2551,W01,3,11,1,1,1
L2551,W01,3,12,1,1,1
L2551,W01,3,13,5,51,0
L2551,W01,3,14,5,51,0
L2551,W01,3,15,1,1,1
L2551,W01,3,16,1,1,1
L2551,W01,3,17,1,1,1
L2551,W01,3,18,1,1,1
L2551,W01,3,19,1,1,1
L2551,W01,3,20,1,1,1
L2551,W01,3,21,1,1,1
L2551,W01,3,22,1,1,1
L2551,W01,3,23,1,1,1
L2551,W01,3,24,1,1,1
L2551,W01,3,25,1,1,1
L2551,W01,3,26,1,1,1
L2551,W01,3,27,1,1,1
L2551,W01,3,28,1,1,1
L2551,W01,3,29,1,1,1
L2551,W01,4,8,1,1,1
L2551,W01,4,9,1,1,1
L2551,W01,4,10,1,1,1
L2551,W01,4,11,1,1,1
L2551,W01,4,12,5,51,0
L2551,W01,4,13,1,1,1
L2551,W01,4,14,5,51,0
L2551,W01,4,15,1,1,1
L2551,W01,4,16,1,1,1
L2551,W01,4,17,1,1,1
L2551,W01,4,18,5,51,0
L2551,W01,4,19,1,1,1
L2551,W01,4,20,1,1,1
L2551,W01,4,21,1,1,1
L2551,W01,4,22,1,1,1
L2551,W01,4,23,1,1,1
L2551,W01,4,24,1,1,1
L2551,W01,4,25,1,1,1
L2551,W01,4,26,5,51,0
L2551,W01,4,27,1,1,1
L2551,W01,4,28,1,1,1
L2551,W01,4,29,1,1,1
L2551,W01,4,30,1,1,1
L2551,W01,4,31,1,1,1
L2551,W01,5,7,1,1,1
L2551,W01,5,8,1,1,1
L2551,W01,5,9,1,1,1
L2551,W01,5,10,1,1,1
L2551,W01,5,11,1,1,1
L2551,W01,5,12,1,1,1
L2551,W01,5,13,1,1,1
L2551,W01,5,14,1,1,1
L2551,W01,5,15,1,1,1
L2551,W01,5,16,1,1,1
L2551,W01,5,17,1,1,1
L2551,W01,5,18,5,51,0
L2551,W01,5,19,1,1,1
L2551,W01,5,20,1,1,1
L2551,W01,5,21,1,1,1
L2551,W01,5,22,1,1,1
L2551,W01,5,23,1,1,1
L2551,W01,5,24,1,1,1
L2551,W01,5,25,1,1,1
L2551,W01,5,26,1,1,1
L2551,W01,5,27,1,1,1
L2551,W01,5,28,1,1,1
L2551,W01,5,29,1,1,1
L2551,W01,5,30,1,1,1
L2551,W01,5,31,1,1,1
L2551,W01,5,32,1,1,1
L2551,W01,6,6,1,1,1
L2551,W01,6,7,1,1,1
L2551,W01,6,8,1,1,1
L2551,W01,6,9,1,1,1
L2551,W01,6,10,1,1,1
L2551,W01,6,11,1,1,1
L2551,W01,6,12,1,1,1
L2551,W01,6,13,1,1,1
L2551,W01,6,14,1,1,1
L2551,W01,6,15,1,1,1
L2551,W01,6,16,1,1,1
L2551,W01,6,17,1,1,1
L2551,W01,6,18,1,1,1
L2551,W01,6,19,1,1,1
L2551,W01,6,20,5,51,0
L2551,W01,6,21,1,1,1
L2551,W01,6,22,1,1,1
L2551,W01,6,23,1,1,1
L2551,W01,6,24,1,1,1
L2551,W01,6,25,1,1,1
L2551,W01,6,26,1,1,1
L2551,W01,6,27,1,1,1
L2551,W01,6,28,1,1,1
L2551,W01,6,29,1,1,1
L2551,W01,6,30,1,1,1
L2551,W01,6,31,1,1,1
L2551,W01,6,32,1,1,1
L2551,W01,6,33,1,1,1
L2551,W01,7,5,1,1,1
L2551,W01,7,6,1,1,1
L2551,W01,7,7,1,1,1
L2551,W01,7,8,1,1,1
L2551,W01,7,9,1,1,1
L2551,W01,7,10,1,1,1
L2551,W01,7,11,1,1,1
L2551,W01,7,12,1,1,1
L2551,W01,7,13,1,1,1
L2551,W01,7,14,1,1,1
L2551,W01,7,15,1,1,1
L2551,W01,7,16,1,1,1
L2551,W01,7,17,1,1,1
L2551,W01,7,18,1,1,1
L2551,W01,7,19,1,1,1
L2551,W01,7,20,1,1,1
L2551,W01,7,21,1,1,1
L2551,W01,7,22,5,51,0
L2551,W01,7,23,1,1,1
L2551,W01,7,24,1,1,1
L2551,W01,7,25,1,1,1
L2551,W01,7,26,1,1,1
L2551,W01,7,27,1,1,1
L2551,W01,7,28,1,1,1
L2551,W01,7,29,1,1,1
L2551,W01,7,30,1,1,1
L2551,W01,7,31,1,1,1
L2551,W01,7,32,5,51,0
L2551,W01,7,33,1,1,1
L2551,W01,7,34,1,1,1
L2551,W01,8,4,1,1,1
L2551,W01,8,5,1,1,1
L2551,W01,8,6,1,1,1
L2551,W01,8,7,1,1,1
L2551,W01,8,8,1,1,1
L2551,W01,8,9,1,1,1
L2551,W01,8,10,1,1,1
L2551,W01,8,11,1,1,1
L2551,W01,8,12,1,1,1
L2551,W01,8,13,1,1,1
L2551,W01,8,14,1,1,1
L2551,W01,8,15,1,1,1
L2551,W01,8,16,1,1,1
L2551,W01,8,17,1,1,1
L2551,W01,8,18,1,1,1
L2551,W01,8,19,1,1,1
