lot_id,wafer_id,die_x,die_y,hard_bin,soft_bin,pass_flag
BASE,W1,1,14,1,1,1
BASE,W1,1,15,1,1,1
BASE,W1,1,16,1,1,1
BASE,W1,1,17,1,1,1
BASE,W1,1,18,1,1,1
BASE,W1,1,19,1,1,1
BASE,W1,1,20,1,1,1
BASE,W1,1,21,1,1,1
BASE,W1,1,22,8,81,0
BASE,W1,1,23,1,1,1
BASE,W1,1,24,1,1,1
BASE,W1,1,25,1,1,1
BASE,W1,2,11,1,1,1
BASE,W1,2,12,1,1,1
BASE,W1,2,13,1,1,1
BASE,W1,2,14,1,1,1
BASE,W1,2,15,1,1,1
BASE,W1,2,16,1,1,1
BASE,W1,2,17,1,1,1
BASE,W1,2,18,1,1,1
BASE,W1,2,19,1,1,1
BASE,W1,2,20,1,1,1
BASE,W1,2,21,1,1,1
BASE,W1,2,22,1,1,1
BASE,W1,2,23,1,1,1
BASE,W1,2,24,1,1,1
BASE,W1,2,25,1,1,1
BASE,W1,2,26,1,1,1
BASE,W1,2,27,1,1,1
BASE,W1,2,28,1,1,1
BASE,W1,3,10,1,1,1
BASE,W1,3,11,1,1,1
BASE,W1,3,12,1,1,1
BASE,W1,3,13,5,51,0
BASE,W1,3,14,1,1,1
BASE,W1,3,15,1,1,1
BASE,W1,3,16,1,1,1
BASE,W1,3,17,1,1,1
BASE,W1,3,18,1,1,1
BASE,W1,3,19,1,1,1
BASE,W1,3,20,1,1,1
BASE,W1,3,21,8,81,0
BASE,W1,3,22,1,1,1
BASE,W1,3,23,1,1,1
BASE,W1,3,24,1,1,1
BASE,W1,3,25,1,1,1
BASE,W1,3,26,1,1,1
BASE,W1,3,27,1,1,1
BASE,W1,3,28,1,1,1
BASE,W1,3,29,1,1,1
BASE,W1,4,8,1,1,1
BASE,W1,4,9,1,1,1
BASE,W1,4,10,1,1,1
BASE,W1,4,11,1,1,1
BASE,W1,4,12,1,1,1
BASE,W1,4,13,1,1,1
BASE,W1,4,14,1,1,1
BASE,W1,4,15,1,1,1
BASE,W1,4,16,1,1,1
BASE,W1,4,17,5,51,0
BASE,W1,4,18,1,1,1
BASE,W1,4,19,1,1,1
BASE,W1,4,20,1,1,1
BASE,W1,4,21,1,1,1
BASE,W1,4,22,1,1,1
BASE,W1,4,23,8,81,0
BASE,W1,4,24,1,1,1
BASE,W1,4,25,1,1,1
BASE,W1,4,26,1,1,1
BASE,W1,4,27,1,1,1
BASE,W1,4,28,1,1,1
BASE,W1,4,29,1,1,1
BASE,W1,4,30,1,1,1
BASE,W1,4,31,1,1,1
BASE,W1,5,7,1,1,1
BASE,W1,5,8,1,1,1
BASE,W1,5,9,1,1,1
BASE,W1,5,10,1,1,1
BASE,W1,5,11,1,1,1
BASE,W1,5,12,1,1,1
BASE,W1,5,13,1,1,1
BASE,W1,5,14,1,1,1
BASE,W1,5,15,1,1,1
BASE,W1,5,16,1,1,1
BASE,W1,5,17,1,1,1
BASE,W1,5,18,1,1,1
BASE,W1,5,19,1,1,1
BASE,W1,5,20,1,1,1
BASE,W1,5,21,1,1,1
BASE,W1,5,22,1,1,1
BASE,W1,5,23,1,1,1
BASE,W1,5,24,1,1,1
BASE,W1,5,25,1,1,1
BASE,W1,5,26,1,1,1
BASE,W1,5,27,1,1,1
BASE,W1,5,28,1,1,1
BASE,W1,5,29,1,1,1
BASE,W1,5,30,1,1,1
BASE,W1,5,31,1,1,1
BASE,W1,5,32,5,51,0
BASE,W1,6,6,1,1,1
BASE,W1,6,7,1,1,1
BASE,W1,6,8,1,1,1
BASE,W1,6,9,1,1,1
BASE,W1,6,10,1,1,1
BASE,W1,6,11,1,1,1
BASE,W1,6,12,1,1,1
BASE,W1,6,13,1,1,1
BASE,W1,6,14,1,1,1
BASE,W1,6,15,1,1,1
BASE,W1,6,16,1,1,1
BASE,W1,6,17,1,1,1
BASE,W1,6,18,1,1,1
BASE,W1,6,19,1,1,1
BASE,W1,6,20,1,1,1
BASE,W1,6,21,1,1,1
BASE,W1,6,22,1,1,1
BASE,W1,6,23,1,1,1
BASE,W1,6,24,1,1,1
BASE,W1,6,25,1,1,1
BASE,W1,6,26,1,1,1
BASE,W1,6,27,1,1,1
BASE,W1,6,28,1,1,1
BASE,W1,6,29,1,1,1
BASE,W1,6,30,1,1,1
BASE,W1,6,31,1,1,1
BASE,W1,6,32,1,1,1
BASE,W1,6,33,1,1,1
BASE,W1,7,5,1,1,1
BASE,W1,7,6,1,1,1
BASE,W1,7,7,1,1,1
BASE,W1,7,8,5,51,0
BASE,W1,7,9,5,51,0
BASE,W1,7,10,1,1,1
BASE,W1,7,11,1,1,1
BASE,W1,7,12,1,1,1
BASE,W1,7,13,1,1,1
BASE,W1,7,14,1,1,1
BASE,W1,7,15,1,1,1
BASE,W1,7,16,1,1,1
BASE,W1,7,17,1,1,1
BASE,W1,7,18,8,81,0
BASE,W1,7,19,1,1,1
BASE,W1,7,20,1,1,1
BASE,W1,7,21,1,1,1
BASE,W1,7,22,1,1,1
BASE,W1,7,23,1,1,1
BASE,W1,7,24,1,1,1
BASE,W1,7,25,1,1,1
BASE,W1,7,26,1,1,1
