lot_id,wafer_id,date,dies,passed
L01,W1,2026-06-01,1184,1081
L01,W2,2026-06-01,1184,1046
L01,W3,2026-06-01,1184,1079
L02,W1,2026-06-02,1184,1061
L02,W2,2026-06-02,1184,1082
L02,W3,2026-06-02,1184,1070
L03,W1,2026-06-03,1184,1077
L03,W2,2026-06-03,1184,927
L03,W3,2026-06-03,1184,1065
L04,W1,2026-06-04,1184,1057
L04,W2,2026-06-04,1184,1041
L04,W3,2026-06-04,1184,1037
L05,W1,2026-06-05,1184,1066
L05,W2,2026-06-05,1184,1092
L05,W3,2026-06-05,1184,1066
L06,W1,2026-06-06,1184,1052
L06,W2,2026-06-06,1184,1090
L06,W3,2026-06-06,1184,1094
L07,W1,2026-06-07,1184,1071
L07,W2,2026-06-07,1184,1065
L07,W3,2026-06-07,1184,1070
L08,W1,2026-06-08,1184,1059
L08,W2,2026-06-08,1184,1054
L08,W3,2026-06-08,1184,1033
L09,W1,2026-06-09,1184,1040
L09,W2,2026-06-09,1184,1021
L09,W3,2026-06-09,1184,1032
L10,W1,2026-06-10,1184,1046
L10,W2,2026-06-10,1184,1054
L10,W3,2026-06-10,1184,1030
L11,W1,2026-06-11,1184,1051
L11,W2,2026-06-11,1184,1065
L11,W3,2026-06-11,1184,1062
L12,W1,2026-06-12,1184,1109
L12,W2,2026-06-12,1184,1139
L12,W3,2026-06-12,1184,1129
